iter	RMSE
0	71082.37313
1	69357.02868
2	67698.5603
3	66115.13543
4	64439.25217
5	62899.86968
6	61521.04756
7	60211.46579
8	58885.02675
9	57583.08672
10	56183.10723
11	54948.93428
12	53656.0033
13	52576.02261
14	51366.48597
15	50263.65924
16	49167.78422
17	48093.47199
18	47033.88711
19	46056.63922
20	45166.18585
21	44294.52313
22	43311.9194
23	42461.5626
24	41676.38901
25	40959.16716
26	40271.88007
27	39559.65982
28	38865.11455
29	38182.00228
30	37673.01106
31	37105.9491
32	36564.41677
33	35969.23668
34	35404.44816
35	34887.81582
36	34355.58713
37	33856.99659
38	33390.60858
39	32931.7926
40	32436.15757
41	31969.87193
42	31492.77705
43	31042.38099
44	30677.10387
45	30272.05823
46	29831.90148
47	29481.84423
48	29126.72508
49	28780.79058
50	28479.42927
51	28192.6692
52	27858.0289
53	27559.65491
54	27276.88738
55	27012.9927
56	26760.63042
57	26501.24956
58	26282.92028
59	26025.6631
60	25812.42439
61	25601.95513
62	25371.38366
63	25172.51507
64	24958.66044
65	24795.64049
66	24645.39432
67	24479.78322
68	24269.84866
69	24085.65154
70	23909.85153
71	23723.11423
72	23560.26906
73	23402.83508
74	23270.05307
75	23119.90039
76	22960.11701
77	22815.55739
78	22692.80917
79	22551.9917
80	22413.13785
81	22263.25832
82	22126.72856
83	22016.22646
84	21875.36646
85	21768.81246
86	21656.5754
87	21555.28192
88	21427.56067
89	21322.40004
90	21225.63677
91	21101.86534
92	21019.85758
93	20919.1267
94	20835.06751
95	20756.13185
96	20682.85881
97	20592.24371
98	20490.51029
99	20440.48885
100	20359.39093
101	20282.53685
102	20182.11725
103	20108.98816
104	20025.48897
105	19936.02851
106	19873.42183
107	19812.17432
108	19746.32554
109	19678.93357
110	19618.94453
111	19545.77031
112	19479.18143
113	19402.22501
114	19331.32832
115	19276.83398
116	19214.64931
117	19151.3017
118	19086.30622
119	19032.03879
120	18986.60082
121	18916.79401
122	18847.85605
123	18799.1679
124	18756.02705
125	18699.97148
126	18631.17202
127	18575.58912
128	18510.03389
129	18450.69757
130	18396.8851
131	18343.69655
132	18285.25004
133	18193.29711
134	18135.72422
135	18091.22212
136	18031.01096
137	18004.58785
138	17920.44697
139	17836.96867
140	17779.32587
141	17741.66243
142	17696.79864
143	17654.60912
144	17602.52272
145	17583.04927
146	17542.99703
147	17501.71845
148	17461.30985
149	17432.12853
150	17397.2228
151	17362.34101
152	17332.85385
153	17291.42307
154	17228.5426
155	17165.58293
156	17132.21304
157	17100.40408
158	17048.27649
159	17017.17835
160	16976.71286
161	16915.22432
162	16854.4002
163	16810.76345
164	16763.98838
165	16701.58246
166	16646.33636
167	16616.24469
168	16572.141
169	16530.74239
170	16475.55178
171	16440.20958
172	16412.48066
173	16379.07773
174	16349.37907
175	16301.95298
176	16278.11444
177	16248.41523
178	16195.02942
179	16177.46977
180	16133.86618
181	16088.55432
182	16082.27031
183	16025.79428
184	15999.7363
185	15971.91213
186	15920.96071
187	15889.56368
188	15878.27838
189	15836.52753
190	15790.2006
191	15735.96655
192	15702.5227
193	15668.29153
194	15638.16962
195	15602.23986
196	15580.36014
197	15537.61935
198	15525.2399
199	15484.70468
200	15466.41751
201	15454.07395
202	15420.33296
203	15380.0673
204	15373.33651
205	15334.81007
206	15318.24748
207	15275.44876
208	15260.33818
209	15249.61716
210	15223.64959
211	15173.42419
212	15163.32035
213	15142.08639
214	15122.66983
215	15110.25498
216	15079.48216
217	15047.34738
218	15013.90052
219	15004.87524
220	15000.27174
221	14964.5213
222	14928.51683
223	14887.76426
224	14864.64163
225	14842.85217
226	14835.09297
227	14782.92661
228	14741.3081
229	14724.42567
230	14676.73266
231	14633.25187
232	14589.49705
233	14543.64016
234	14535.02626
235	14502.31495
236	14495.40768
237	14451.53341
238	14407.79968
239	14398.06171
240	14393.4303
241	14372.96573
242	14365.94487
243	14359.24206
244	14354.91742
245	14350.42215
246	14323.24084
247	14317.45884
248	14294.43142
249	14264.74907
250	14243.24734
251	14211.70899
252	14185.36594
253	14177.1283
254	14148.72804
255	14142.30798
256	14112.04124
257	14083.07143
258	14078.27447
259	14075.09955
260	14070.85509
261	14029.0975
262	14025.55263
263	13975.40335
264	13940.85851
265	13905.26971
266	13869.13874
267	13826.97024
268	13792.74858
269	13755.08432
270	13723.94188
271	13720.75894
272	13691.25488
273	13688.06827
274	13645.71497
275	13619.1684
276	13596.07467
277	13561.85157
278	13526.5404
279	13480.48282
280	13436.13859
281	13408.59477
282	13361.10116
283	13320.28486
284	13276.99665
285	13237.84232
286	13234.92323
287	13211.15671
288	13190.77532
289	13172.03507
290	13132.20458
291	13112.34285
292	13089.57444
293	13064.14946
294	13031.77498
295	13007.33908
296	12971.25705
297	12941.07988
298	12907.85838
299	12885.71057
300	12883.00057
301	12834.58184
302	12800.5968
303	12759.43116
304	12734.65159
305	12710.56792
306	12686.7082
