iter	Passed	Remaining
0	0	237
1	1	223
2	2	218
3	2	216
4	3	219
5	4	215
6	5	211
7	5	207
8	6	203
9	6	198
10	7	195
11	8	192
12	8	190
13	9	187
14	9	185
15	10	184
16	11	183
17	11	183
18	12	183
19	13	182
20	13	181
21	14	181
22	15	182
23	15	181
24	16	180
25	16	179
26	17	177
27	18	176
28	18	174
29	19	173
30	19	172
31	20	170
32	20	169
33	21	168
34	22	167
35	22	166
36	23	165
37	23	163
38	24	165
39	26	170
40	27	172
41	28	172
42	28	171
43	29	170
44	29	168
45	30	167
46	30	166
47	31	165
48	32	163
49	32	162
50	33	161
51	33	160
52	34	159
53	34	158
54	35	157
55	35	155
56	36	155
57	36	153
58	37	152
59	37	151
60	38	151
61	39	151
62	39	150
63	40	149
64	40	147
65	41	147
66	42	146
67	42	145
68	43	144
69	43	143
70	44	142
71	44	141
72	45	140
73	45	139
74	46	139
75	46	138
76	47	137
77	47	136
78	48	135
79	48	134
80	49	133
81	50	133
82	50	132
83	51	131
84	51	130
85	52	129
86	52	128
87	53	127
88	53	127
89	54	126
90	54	125
91	55	125
92	55	124
93	56	123
94	57	123
95	57	122
96	58	121
97	58	120
98	59	120
99	59	119
100	60	118
101	60	117
102	61	117
103	61	116
104	62	115
105	62	114
106	63	114
107	63	113
108	64	112
109	64	112
110	65	111
111	66	110
112	66	110
113	67	109
114	67	108
115	68	108
116	68	107
117	69	106
118	69	105
119	70	105
120	70	104
121	71	103
122	71	103
123	72	102
124	72	102
125	73	101
126	73	100
127	74	100
128	75	99
129	75	99
130	76	98
131	77	98
132	77	97
133	78	96
134	78	96
135	79	95
136	79	94
137	80	94
138	80	93
139	81	92
140	81	92
141	82	91
142	82	91
143	83	90
144	83	89
145	84	89
146	85	88
147	85	87
148	86	87
149	86	86
150	87	85
151	87	85
152	88	84
153	88	84
154	89	83
155	89	82
156	90	82
157	90	81
158	91	80
159	91	80
160	92	79
161	92	79
162	93	78
163	93	77
164	94	77
165	94	76
166	95	76
167	96	75
168	96	74
169	97	74
170	97	73
171	98	73
172	98	72
173	99	71
174	99	71
175	100	70
176	100	70
177	101	69
178	101	68
179	102	68
180	103	67
181	103	67
182	104	66
183	104	65
184	105	65
185	105	64
186	106	64
187	106	63
188	107	63
189	107	62
190	108	61
191	108	61
192	109	60
193	109	60
194	110	59
195	110	58
196	111	58
197	111	57
198	112	57
199	112	56
200	113	55
201	113	55
202	114	54
203	114	54
204	115	53
205	115	52
206	116	52
207	117	51
208	117	51
209	118	50
210	118	50
211	119	49
212	119	48
213	120	48
214	121	47
215	121	47
216	122	46
217	122	46
218	123	45
219	123	45
220	124	44
221	124	43
222	125	43
223	126	42
224	126	42
225	127	41
226	127	41
227	128	40
228	128	39
229	129	39
230	129	38
231	130	38
232	130	37
233	131	37
234	132	36
235	132	36
236	133	35
237	133	34
238	134	34
239	134	33
240	135	33
241	136	32
242	136	32
243	137	31
244	137	30
245	138	30
246	138	29
247	139	29
248	139	28
249	140	28
250	141	27
251	141	26
252	142	26
253	142	25
254	143	25
255	143	24
256	144	24
257	144	23
258	145	23
259	145	22
260	146	21
261	146	21
262	147	20
263	148	20
264	148	19
265	149	19
266	149	18
267	150	17
268	150	17
269	151	16
270	151	16
271	152	15
272	153	15
273	153	14
274	154	14
275	154	13
276	155	12
277	155	12
278	156	11
279	156	11
280	157	10
281	157	10
282	158	9
283	159	8
284	159	8
285	160	7
286	160	7
287	161	6
288	161	6
289	162	5
290	162	5
291	163	4
292	164	3
293	164	3
294	165	2
295	165	2
296	166	1
297	166	1
298	167	0
299	167	0
