MSSubClass,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,65.0,8450,1.0,1.0,1.0,1.0,5,2,1.0,5,7,5,2003,1,13,1,196.0,0.75,0.5,2,0.8,0.6,0.25,1.0,706,0,150,1,1.0,1,4,856,854,1710,1,0,2,1,3,1,0.75,8,1.0,0,0.6922077922077988,2,2003.0,0.6666666666666666,2,548,0.6,0.6,1.0,0,61,0,0,0.7348754448398577,0,2,2008,8,1.0,208500
20,80.0,9600,1.0,1.0,0.25,1.0,24,1,1.0,2,6,8,1976,1,8,2,0.0,0.5,0.5,1,0.8,0.6,1.0,0.8333333333333334,978,0,284,1,1.0,1,4,1262,0,1262,0,1,2,0,3,1,0.5,6,1.0,1,0.6,2,1976.0,0.6666666666666666,2,460,0.6,0.6,1.0,298,0,0,0,0.7348754448398577,0,5,2007,8,1.0,181500
60,68.0,11250,0.6666666666666666,1.0,1.0,1.0,5,2,1.0,5,7,5,2002,1,13,1,162.0,0.75,0.5,2,0.8,0.6,0.5,1.0,486,0,434,1,1.0,1,4,920,866,1786,1,0,2,1,3,1,0.75,6,1.0,1,0.6,2,2001.0,0.6666666666666666,2,608,0.6,0.6,1.0,0,42,0,0,0.7348754448398577,0,9,2008,8,1.0,223500
70,60.0,9550,0.6666666666666666,1.0,0.75,1.0,6,2,1.0,5,7,5,1970,1,15,2,0.0,0.5,0.5,0,0.6,0.8,0.25,0.8333333333333334,216,0,540,1,0.75,1,4,961,756,1717,1,0,1,0,3,1,0.75,7,1.0,1,0.8,6,1998.0,0.3333333333333333,3,642,0.6,0.6,1.0,0,35,272,0,0.7348754448398577,0,2,2006,8,0.75,140000
60,84.0,14260,0.6666666666666666,1.0,0.25,1.0,15,2,1.0,5,8,5,2000,1,13,1,350.0,0.75,0.5,2,0.8,0.6,0.75,1.0,655,0,490,1,1.0,1,4,1145,1053,2198,1,0,2,1,4,1,0.75,9,1.0,1,0.6,2,2000.0,0.6666666666666666,3,836,0.6,0.6,1.0,192,84,0,0,0.7348754448398577,0,12,2008,8,1.0,250000
20,75.0,10084,1.0,1.0,1.0,1.0,21,2,1.0,2,8,5,2005,1,13,3,186.0,0.75,0.5,2,1.0,0.6,0.75,1.0,1369,0,317,1,1.0,1,4,1694,0,1694,1,0,2,0,3,1,0.75,7,1.0,1,0.8,2,2004.0,0.6666666666666666,2,636,0.6,0.6,1.0,255,57,0,0,0.7348754448398577,0,8,2007,8,1.0,307000
60,70.04995836802665,10382,0.6666666666666666,1.0,0.75,1.0,14,4,1.0,5,7,6,1973,1,6,3,240.0,0.5,0.5,1,0.8,0.6,0.5,0.8333333333333334,859,32,216,1,1.0,1,4,1107,983,2090,1,0,2,1,3,1,0.5,7,1.0,2,0.6,2,1973.0,0.6666666666666666,2,484,0.6,0.6,1.0,235,204,228,0,0.7348754448398577,350,11,2009,8,1.0,200000
50,51.0,6120,1.0,1.0,1.0,1.0,17,0,1.0,0,7,5,1950,1,15,2,0.0,0.5,0.5,0,0.6,0.6,0.25,0.16666666666666666,0,0,952,1,0.75,1,1,1022,752,1774,0,0,2,0,2,2,0.5,8,0.8571428571428571,2,0.6,6,1931.0,0.3333333333333333,2,468,0.4,0.6,1.0,90,0,205,0,0.7348754448398577,0,4,2008,8,0.75,129900
20,70.0,11200,1.0,1.0,1.0,1.0,19,2,1.0,2,5,5,1965,3,6,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.5,906,0,134,1,1.0,1,4,1040,0,1040,1,0,1,0,3,1,0.5,5,1.0,0,0.6922077922077988,6,1965.0,0.3333333333333333,1,384,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,0,2,2008,8,1.0,129500
60,85.0,11924,0.6666666666666666,1.0,1.0,1.0,16,2,1.0,5,9,5,2006,3,15,3,286.0,1.0,0.5,2,1.0,0.6,0.25,1.0,998,0,177,1,1.0,1,4,1182,1142,2324,1,0,3,0,4,1,1.0,11,1.0,2,0.8,4,2005.0,1.0,3,736,0.6,0.6,1.0,147,21,0,0,0.7348754448398577,0,7,2006,6,0.0,345000
20,70.04995836802665,12968,0.3333333333333333,1.0,1.0,1.0,19,2,1.0,2,5,6,1962,3,10,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.8333333333333334,737,0,175,1,0.5,1,4,912,0,912,1,0,1,0,2,1,0.5,4,1.0,0,0.6922077922077988,6,1962.0,0.3333333333333333,1,352,0.6,0.6,1.0,140,0,0,176,0.7348754448398577,0,9,2008,8,1.0,144000
20,91.0,10652,0.6666666666666666,1.0,1.0,1.0,5,2,1.0,2,7,5,2007,1,13,3,306.0,0.75,0.5,2,0.8,0.6,0.75,0.16666666666666666,0,0,1494,1,1.0,1,4,1494,0,1494,0,0,2,0,3,1,0.75,7,1.0,1,0.8,2,2006.0,0.6666666666666666,3,840,0.6,0.6,1.0,160,33,0,0,0.7348754448398577,0,8,2007,6,0.0,279500
20,70.04995836802665,10920,0.6666666666666666,1.0,0.75,1.0,12,2,1.0,2,6,5,1960,3,8,1,212.0,0.5,0.5,1,0.6,0.6,0.25,0.6666666666666666,733,0,520,1,0.5,1,4,1253,0,1253,1,0,1,1,2,1,0.5,5,1.0,1,0.4,2,1960.0,0.6666666666666666,1,352,0.6,0.6,1.0,0,213,176,0,0.5,0,5,2008,8,1.0,157000
45,51.0,6120,1.0,1.0,0.75,1.0,3,2,1.0,1,7,8,2001,1,14,2,0.0,0.5,0.5,0,0.6,0.6,0.25,0.16666666666666666,0,0,832,1,1.0,1,0,854,0,854,0,0,1,0,2,1,0.5,5,1.0,0,0.6922077922077988,6,1991.0,0.3333333333333333,2,576,0.6,0.6,1.0,48,112,0,0,1.0,0,7,2007,8,1.0,132000
20,70.04995836802665,11241,0.6666666666666666,1.0,0.5,1.0,12,2,1.0,2,6,7,1970,1,14,1,180.0,0.5,0.5,1,0.6,0.6,0.25,0.8333333333333334,578,0,426,1,1.0,1,4,1004,0,1004,1,0,1,0,2,1,0.5,5,1.0,1,0.6,2,1970.0,1.0,2,480,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,700,3,2010,8,1.0,149000
90,72.0,10791,1.0,1.0,1.0,1.0,19,2,0.9359070464767616,2,4,5,1967,1,8,2,0.0,0.5,0.5,3,0.7159522136331681,0.6022487702038073,0.4184247538677918,0.6063480908877932,0,0,0,1,0.5,1,4,1296,0,1296,0,0,2,0,2,2,0.5,6,1.0,0,0.6922077922077988,5,1967.0,0.3333333333333333,2,516,0.6,0.6,1.0,0,0,0,0,0.7348754448398577,500,10,2006,8,1.0,90000
20,66.0,13695,1.0,1.0,1.0,1.0,20,5,1.0,2,5,5,2004,1,13,2,0.0,0.5,0.5,2,0.6,0.6,0.25,1.0,646,0,468,1,1.0,1,4,1114,0,1114,1,0,1,1,3,1,0.75,6,1.0,0,0.6922077922077988,6,2004.0,0.3333333333333333,2,576,0.6,0.6,1.0,0,102,0,0,0.7348754448398577,0,6,2008,8,1.0,159000
20,70.0,7560,1.0,1.0,1.0,1.0,12,2,1.0,2,5,6,1965,3,10,2,0.0,0.5,0.5,1,0.6,0.6,0.25,0.3333333333333333,504,0,525,1,0.5,1,4,1339,0,1339,0,0,1,0,3,1,0.5,6,0.8571428571428571,0,0.6922077922077988,2,1958.0,0.3333333333333333,1,294,0.6,0.6,1.0,0,0,0,0,0.75,0,5,2009,0,0.75,139000
60,101.0,14215,0.6666666666666666,1.0,0.75,1.0,16,2,1.0,5,8,5,2006,1,13,1,380.0,0.75,0.5,2,1.0,0.6,0.75,0.16666666666666666,0,0,1158,1,1.0,1,4,1158,1218,2376,0,0,3,1,4,1,0.75,9,1.0,1,0.8,4,2005.0,0.6666666666666666,3,853,0.6,0.6,1.0,240,154,0,0,0.7348754448398577,0,11,2006,6,0.0,325300
45,57.0,7449,1.0,0.6666666666666666,1.0,1.0,9,2,1.0,1,7,7,1950,1,14,2,0.0,0.5,0.5,2,0.6,0.6,0.25,0.16666666666666666,0,0,637,1,1.0,1,1,1108,0,1108,0,0,1,0,3,1,0.75,6,1.0,1,0.8,2,1930.0,0.3333333333333333,1,280,0.6,0.6,0.0,0,0,205,0,1.0,0,6,2007,8,1.0,139400
20,75.0,9742,1.0,1.0,1.0,1.0,5,2,1.0,2,8,5,2002,3,13,1,281.0,0.75,0.5,2,0.8,0.6,0.25,0.16666666666666666,0,0,1777,1,1.0,1,4,1795,0,1795,0,0,2,0,3,1,0.75,7,1.0,1,0.8,2,2002.0,0.6666666666666666,2,534,0.6,0.6,1.0,171,159,0,0,0.7348754448398577,0,9,2008,8,1.0,230000
120,44.0,4224,1.0,1.0,1.0,1.0,10,2,0.25,2,5,7,1976,1,5,2,0.0,0.5,0.5,2,0.8,0.6,0.25,1.0,840,0,200,1,0.5,1,4,1060,0,1060,1,0,1,0,3,1,0.5,6,1.0,1,0.6,2,1976.0,0.3333333333333333,2,572,0.6,0.6,1.0,100,110,0,0,0.7348754448398577,0,6,2007,8,1.0,129900
20,70.04995836802665,8246,0.6666666666666666,1.0,1.0,1.0,19,2,1.0,2,5,8,2001,1,10,2,0.0,0.5,0.75,1,0.6,0.6,0.5,0.5,188,668,204,1,1.0,1,4,1060,0,1060,1,0,1,0,3,1,0.75,6,1.0,1,0.6,2,1968.0,0.3333333333333333,1,270,0.6,0.6,1.0,406,90,0,0,0.75,0,5,2010,8,1.0,154000
20,110.0,14230,1.0,1.0,0.75,1.0,16,2,1.0,2,8,5,2007,1,13,3,640.0,0.75,0.5,2,0.8,0.6,0.25,0.16666666666666666,0,0,1566,1,1.0,1,4,1600,0,1600,0,0,2,0,3,1,0.75,7,1.0,1,0.8,2,2007.0,0.6666666666666666,3,890,0.6,0.6,1.0,0,56,0,0,0.7348754448398577,0,7,2009,8,1.0,256300
20,60.0,7200,1.0,1.0,0.75,1.0,12,2,1.0,2,5,7,2000,1,14,2,0.0,0.5,0.5,1,0.6,0.6,0.5,0.6666666666666666,234,486,180,1,0.5,1,4,900,0,900,0,1,1,0,3,1,0.75,5,1.0,0,0.6922077922077988,6,2005.0,0.3333333333333333,2,576,0.6,0.6,1.0,222,32,0,0,0.7348754448398577,0,5,2010,8,1.0,134800
20,98.0,11478,1.0,1.0,1.0,1.0,16,2,1.0,2,8,5,2008,1,13,3,200.0,0.75,0.5,2,1.0,0.6,0.25,1.0,1218,0,486,1,1.0,1,4,1704,0,1704,1,0,2,0,3,1,0.75,7,1.0,1,0.8,2,2008.0,0.6666666666666666,3,772,0.6,0.6,1.0,0,50,0,0,0.7348754448398577,0,5,2010,8,1.0,306000
20,47.0,16321,0.6666666666666666,1.0,0.5,1.0,12,2,1.0,2,5,6,1997,1,8,2,0.0,0.5,0.5,1,0.6,0.6,1.0,0.6666666666666666,1277,0,207,1,0.5,1,4,1600,0,1600,1,0,1,0,2,1,0.5,6,1.0,2,0.8,2,1957.0,0.6666666666666666,1,319,0.6,0.6,1.0,288,258,0,0,0.7348754448398577,0,12,2006,8,1.0,207500
70,50.0,8500,1.0,1.0,1.0,1.0,9,1,1.0,5,4,4,1950,2,3,2,0.0,0.5,0.25,0,0.6,0.6,0.25,0.16666666666666666,0,0,649,1,0.5,0,4,649,668,1317,0,0,1,0,3,1,0.5,6,1.0,0,0.6922077922077988,6,1920.0,0.3333333333333333,1,250,0.6,0.4,0.0,0,54,172,0,0.75,0,7,2008,8,1.0,40000
